6
1,1,1,2,2,2
0,0,1,0,0,0
183
1,1,2,2,2,2,3,3,4,4,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,11,11,12,12,12,12,12,10,10,10,13,13,14,14,14,15,15,15,15,15,16,16,16,16,16,16,16,17,18,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21,21,21,21,22,22,22,23,24,24,24,24,24,24,24,24,24,24,24,24,24,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,26,26,26,27,27,27,27,27,27,27,20,20,20,23,23,28,29,29,29,29,29,29,29,29,30,30,30,30,31,31,31,31,32,32,32,32,32,32
0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
59
1,1,2,3,3,3,3,3,4,4,4,5,6,6,7,7,7,7,7,7,8,8,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,11,12,12,13,13,13,33,33,33,33,33,33,33,14,14,15,15,15,16,16,16,16
0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1
23
1,2,3,4,4,4,4,4,4,5,6,6,7,7,7,7,7,8,8,7,4,4,4
1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0
2
1,1
0,1
168
1,1,1,1,2,2,2,2,2,2,2,3,3,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,6,7,7,7,7,7,7,7,7,7,11,11,11,8,8,8,8,11,11,11,11,11,11,11,11,11,11,9,10,10,10,10,11,11,11,11,11,12,12,13,33,33,33,33,33,33,34,34,14,14,15,15,15,16,35,29,29,17,18,19,20,21,22,36,30,30,30,37,23,38,27,31,39,40,24,41,42,25,26,43,44,45,46,47,48,49,50,51,52,53,54,28,55,56,32,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,75,76,77,78,79,80,81,82,83,84,85,85,86,87,88,89,90,90,90,91,92,93,94,95,96,97
0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0
17
98,1,1,1,1,2,2,2,2,3,4,5,6,6,6,7,7
0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,1
51
1,1,2,3,4,5,6,6,7,8,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,11,12,12,12,13,13,33,33,33,33,34,34,14,15,15,16,35,15,15,17,17
